id_parroq;nparroq
150750;BAEZA
150751;COSANGA
150752;CUYUJA
150753;PAPALLACTA
150754;SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)
150756;SUMACO
150950;CARLOS JULIO AROSEMENA TOLA
160150;PUYO
160152;CANELOS
160154;DIEZ DE AGOSTO
160155;FATIMA
160156;MONTALVO (ANDOAS)
160157;POMONA
160158;RIO CORRIENTES
160159;RIO TIGRE
160161;SARAYACU
160162;SIMON BOLIVAR (CAB. EN MUSHULLACTA)
160163;TARQUI
160164;TENIENTE HUGO ORTIZ
160165;VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA)
160166;EL TRIUNFO
160250;MERA
160251;MADRE TIERRA
160252;SHELL
160350;SANTA CLARA
160351;SAN JOSE
160450;ARAJUNO
160451;CURARAY
170150;QUITO
170151;ALANGASI
170152;AMAGUAÑA
170153;ATAHUALPA (HABASPAMBA)
170154;CALACALI
170155;CALDERON (CARAPUNGO)
170156;CONOCOTO
170157;CUMBAYA
170158;CHAVEZPAMBA
170159;CHECA (CHILPA)
170160;EL QUINCHE
170161;GUALEA
170162;GUANGOPOLO
170163;GUAYLLABAMBA
170164;LA MERCED
170165;LLANO CHICO
170166;LLOA
170168;NANEGAL
170169;NANEGALITO
170170;NAYON
170171;NONO
170172;PACTO
170174;PERUCHO
170175;PIFO
170176;PINTAG
170177;POMASQUI
170178;PUELLARO
170179;PUEMBO
170180;SAN ANTONIO
170181;SAN JOSE DE MINAS
170183;TABABELA
170184;TUMBACO
170185;YARUQUI
170186;ZAMBIZA
170250;CAYAMBE
170251;ASCAZUBI
170252;CANGAHUA
170253;OLMEDO (PESILLO)
170254;OTON
170255;SANTA ROSA DE CUZUBAMBA
170256;SAN JOSE DE AYORA
170350;MACHACHI
170351;ALOAG
170352;ALOASI
170353;CUTUGLAHUA
170354;EL CHAUPI
170355;MANUEL CORNEJO ASTORGA (TANDAPI)
170356;TAMBILLO
170357;UYUMBICHO
170450;TABACUNDO
170451;LA ESPERANZA
170452;MALCHINGUI
170453;TOCACHI
170454;TUPIGACHI
170550;SANGOLQUI
170551;COTOGCHOA
170552;RUMIPAMBA
170750;SAN MIGUEL DE LOS BANCOS
170751;MINDO
170850;PEDRO VICENTE MALDONADO
170950;PUERTO QUITO
180150;AMBATO
180151;AMBATILLO
180152;ATAHUALPA (CHISALATA)
180153;AUGUSTO N. MARTINEZ (MUNDUGLEO)
180154;CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA)
180155;HUACHI GRANDE
180156;IZAMBA
180157;JUAN BENIGNO VELA
180158;MONTALVO
180159;PASA
180160;PICAIGUA
180161;PILAGUIN (PILAHUIN)
180162;QUISAPINCHA (QUIZAPINCHA)
180163;SAN BARTOLOME DE PINLLO
180164;SAN FERNANDO (PASA SAN FERNANDO)
180165;SANTA ROSA
180166;TOTORAS
180167;CUNCHIBAMBA
180168;UNAMUNCHO
180250;BAÑOS DE AGUA SANTA
180251;LLIGUA
180252;RIO NEGRO
180253;RIO VERDE
180254;ULBA
180350;CEVALLOS
180450;MOCHA
180451;PINGUILI
180550;PATATE
180551;EL TRIUNFO
180552;LOS ANDES (CAB. EN POATUG)
180553;SUCRE (CAB. EN SUCRE-PATATE URCU)
180650;QUERO
180651;RUMIPAMBA
180652;YANAYACU- MOCHAPATA (CAB. EN YANAYACU)
180750;PELILEO
180751;BENITEZ (PACHANLICA)
180752;BOLIVAR
180753;COTALO
180754;CHIQUICHA (CAB. EN CHIQUICHA GRANDE)
180755;EL ROSARIO (RUMICHACA)
180756;GARCIA MORENO (CHUMAQUI)
180757;GUAMBALO (HUAMBALO)
180758;SALASACA
180850;PILLARO
180851;BAQUERIZO MORENO
180852;EMILIO MARIA TERAN (RUMIPAMBA)
180853;MARCOS ESPINEL (CHACATA)
180854;PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)
180855;SAN ANDRES
180856;SAN JOSE DE POALO
180857;SAN MIGUELITO
180950;TISALEO
180951;QUINCHICOTO
190150;ZAMORA
190151;CUMBARATZA
190152;GUADALUPE
190153;IMBANA (LA VICTORIA DE IMBANA)
190155;SABANILLA
190156;TIMBARA
190158;SAN CARLOS DE LAS MINAS
190250;ZUMBA
190251;CHITO
190252;EL CHORRO
190254;LA CHONTA
190256;PUCAPAMBA
190259;SAN ANDRES
190350;GUAYZIMI
190351;ZURMI
190352;NUEVO PARAISO
190450;28 DE MAYO (SAN JOSE DE YACUAMBI)
190451;LA PAZ
190452;TUTUPALI
190550;YANTZAZA (YANZATZA)
190551;CHICAÑA
190553;LOS ENCUENTROS
190650;EL PANGUI
190651;EL GUISME
190652;PACHICUTZA
190653;TUNDAYME
190750;ZUMBI
190752;TRIUNFO-DORADO
190753;PANGUINTZA
190850;PALANDA
190851;EL PORVENIR DEL CARMEN
190852;SAN FRANCISCO DEL VERGEL
190853;VALLADOLID
190854;LA CANELA
190950;PAQUISHA
190951;BELLAVISTA
190952;NUEVO QUITO
200150;PUERTO BAQUERIZO MORENO
200151;EL PROGRESO
200152;ISLA SANTA MAR═A (FLOREANA) (CAB. EN  PTO. VELASCO IBARR
200250;PUERTO VILLAMIL
200251;TOMAS DE BERLANGA (SANTO TOMAS)
200350;PUERTO AYORA
200351;BELLAVISTA
200352;SANTA ROSA
210150;NUEVA LOJA
210152;DURENO
210153;GENERAL FARFAN
210155;EL ENO
210156;PACAYACU
210157;JAMBELI
210158;SANTA CECILIA
210160;10 DE AGOSTO
210250;LUMBAQUI
210251;EL REVENTADOR
210252;GONZALO PIZARRO
210254;PUERTO LIBRE
210350;PUERTO EL CARMEN DEL PUTUMAYO
210351;PALMA ROJA
210352;PUERTO BOLIVAR (PUERTO MONTUFAR)
210353;PUERTO RODRIGUEZ
210354;SANTA ELENA
